,names,scores,logfoldchanges,pvals,pvals_adj
7351,CG32091,-0.97218525,-24.106386,0.33095839257331094,0.34650063752841115
7352,Cpr67Fb,-0.97218525,-24.109797,0.33095839257331094,0.34650063752841115
7353,veil,-0.97807926,-0.4240765,0.32803513481262425,0.34366613636615456
7354,CG31997,-0.97972953,-1.7822744,0.3272196336250933,0.3429464092809923
7355,CanA1,-0.9802868,-23.995998,0.32694456712342945,0.3427040444798334
7356,Hil,-0.98195857,-2.8823605,0.3261202689386429,0.3418850395788539
7357,CG44006,-0.9821836,-2.8904524,0.32600940897318986,0.34181384350120114
7358,Spn42De,-0.9852913,-2.1959538,0.32448099110867334,0.34025615391751396
7359,CG40486,-0.98838836,-24.591137,0.3229624923989204,0.3387977431136164
7360,Cyp28a5,-0.98838836,-24.028513,0.3229624923989204,0.3387977431136164
7361,Cyp305a1,-0.98838836,-23.957634,0.3229624923989204,0.3387977431136164
7362,lncRNA:CR45345,-0.9964899,-24.051918,0.31901217652686176,0.33496278535320484
7363,snu,-0.9964899,-24.632711,0.31901217652686176,0.33496278535320484
7364,CG34342,-0.9964899,-24.025673,0.31901217652686176,0.33496278535320484
7365,CG31909,-1.0045915,-23.977161,0.3150936234173132,0.331154119738333
7366,MFS9,-1.0045915,-24.452457,0.3150936234173132,0.331154119738333
7367,Drep1,-1.0045915,-24.058907,0.3150936234173132,0.331154119738333
7368,Adgf-A,-1.0082992,-3.3685977,0.313310806658189,0.32941092604921085
7369,CG14662,-1.0126929,-24.146912,0.311206832796318,0.3273285558643974
7370,dar1,-1.0126929,-24.639004,0.311206832796318,0.3273285558643974
7371,CG30440,-1.0207945,-24.322222,0.30735180023973463,0.3234875665310828
7372,CG2861,-1.0207945,-24.14748,0.30735180023973463,0.3234875665310828
7373,Mdr50,-1.0288961,-24.634094,0.3035285172078791,0.3196326367369026
7374,CG14626,-1.0288961,-24.057665,0.3035285172078791,0.3196326367369026
7375,CG2233,-1.0288961,-24.70725,0.3035285172078791,0.3196326367369026
7376,CG6928,-1.0341042,-0.9629869,0.3010874523922824,0.3171879594427764
7377,nrm,-1.0396339,-3.1605651,0.29851005508079476,0.31451436700927266
7378,Ubx,-1.0532007,-25.347412,0.2922490188802339,0.30816241935185235
7379,l(3)72Dp,-1.0674748,-0.9937544,0.2857574663439204,0.3015571035045429
7380,lncRNA:CR45810,-1.0694038,-24.106554,0.28488776247181546,0.3006791806807027
7381,asRNA:CR45136,-1.0694038,-24.095922,0.28488776247181546,0.3006791806807027
7382,mfas,-1.0694038,-24.28533,0.28488776247181546,0.3006791806807027
7383,CG15211,-1.0740975,-1.3923568,0.28277896847661743,0.29865151407980334
7384,Ance,-1.0775054,-24.29078,0.28125457134547305,0.29708097323671134
